Matricula;TotalCreditos;TotalDebitosObrigatorios;TotalDebitosFacultativos
1090595910;962.26;25.26;279.90
1090620249;1412.77;157.16;211.15
1090626190;998.00;61.00;261.25
1090626956;998.00;61.00;301.84
1090627880;1893.35;210.63;580.32
1090629084;2715.20;254.48;765.92
1090629106;2737.50;304.53;556.11
1090629254;2367.69;163.88;723.14
1090630120;1066.22;117.84;214.38
1090630333;2760.88;307.14;856.64
1090630414;3565.27;396.62;1094.89
1090630481;993.85;92.28;204.08
1090630619;976.32;39.32;237.98
1090631160;3159.31;244.00;82.49
5326954806;2316.83;57.67;640.54
5326958925;2106.80;234.37;394.63
1549719073;998.00;61.00;0.00
1549720012;998.00;61.00;0.00
1549720306;1830.01;203.58;357.12
1549720870;2540.59;2540.59;0.00
1549721051;4244.03;64.87;585.83
1549721191;2236.47;248.20;691.27
1549721345;1289.42;143.20;395.22
1549721450;1157.54;128.77;354.61
1549721620;998.00;61.00;85.96
1549721892;1537.75;142.78;398.24
1549722368;1412.16;132.00;231.98
1549722732;1268.33;118.55;400.72
1549722856;3657.73;406.91;0.00
1549723020;1100.11;102.83;299.08
1549723437;3660.69;3660.69;0.00
1549723712;1152.04;128.15;0.00
1549723860;1668.06;154.88;361.05
1549724301;998.00;61.00;120.11
1549724360;1560.09;145.82;163.48
1549724468;2730.75;201.42;367.85
1549724913;1090.36;121.11;334.25
1549725200;1149.81;127.81;0.00
1549725367;1581.85;175.04;487.81
1549725529;1856.27;172.36;408.80
1549725910;1056.74;117.08;281.66
1549726142;1793.11;199.47;148.53
1549727173;1478.33;138.35;360.98
1549727360;1324.71;1324.71;0.00
1549727602;2176.51;227.74;3.35
1090751297;998.00;61.00;263.90
1090751769;998.00;61.00;233.76
1090752102;1349.71;149.90;239.81
1090755152;3203.05;325.11;563.56
1090755160;2707.95;43.66;1094.99
1090755292;3488.82;230.98;1069.87
1090755373;2864.37;310.97;230.25
1090755446;3218.80;180.04;741.93
1090755489;2873.02;319.62;889.68
1090755608;3021.71;249.44;65.12
1090755977;2864.37;310.97;766.02
1090756230;3617.22;356.03;908.01
1090756264;2918.82;324.72;645.77
1090756345;2839.69;245.59;893.25
1090756817;3407.68;379.10;998.86
1090756922;3714.88;243.07;1097.45
1090757112;2883.48;298.14;306.06
1090757562;3143.20;336.23;756.44
1090757589;2605.99;240.29;797.78
1090757651;3114.76;307.79;439.34
1090759069;3297.26;253.70;693.26
1090759220;2802.98;57.95;956.51
1090759344;3089.46;293.11;289.38
1090759484;3578.71;340.80;496.82
1090760342;971.63;34.63;283.69
1090760563;3438.56;382.53;0.00
1090763619;1905.45;211.98;538.30
1090763759;1018.27;95.00;318.27
1090764178;3099.20;289.69;756.93
1090765859;1236.50;79.10;303.40
1090766588;3038.91;193.30;1042.68
1090766642;1383.90;153.95;0.00
1090767576;981.00;44.00;306.66
1090768700;981.00;43.10;263.90
1090768858;1080.27;120.17;335.93
1090788140;3584.64;335.07;730.10
1090790403;1607.04;150.21;436.53
1363172970;962.26;25.26;276.22
1363173372;1568.87;174.53;372.72
1363175634;998.00;61.00;217.13
1363178668;1421.12;133.19;388.52
0541254677;998.00;61.00;325.66
0541257684;981.00;44.00;217.09
0541258346;998.00;61.00;185.99
0541258494;998.00;61.00;185.06
0541258648;981.00;44.00;278.16
0541262173;998.00;61.00;216.84
0541262254;2285.53;212.21;0.00
0541262963;1213.63;112.45;330.18
0541263390;4010.14;127.58;1261.96
0541268287;2942.12;327.30;227.18
0541272322;981.00;44.00;275.74
0541273337;998.00;61.00;280.37
5471313719;981.00;101.00;0.00
5471327604;3472.82;323.85;1096.97
5471354237;3322.27;237.57;862.29
1720815094;4156.50;446.74;968.76
1720816376;3419.46;233.73;1041.85
1720816457;981.00;44.00;0.00
1720816791;2640.84;247.13;851.66
1720817372;2457.53;239.46;194.53
1720817488;2387.34;235.86;708.48
1720818140;1589.98;1589.98;0.00
1720818212;1585.61;176.39;0.00
1720820047;1872.53;166.53;0.00
1720820071;1531.47;136.47;0.00
1720821353;1176.05;62.05;0.00
1720821400;2922.31;77.76;0.00
1720821493;3218.65;45.77;950.92
1720821515;3709.23;45.39;918.43
1720821590;3432.48;22.71;0.00
1720821728;3128.69;55.48;0.00
1720821981;1046.88;88.44;284.44
1720822066;4280.56;19.95;322.50
1720822430;1846.16;97.41;0.00
1720823070;2876.63;82.69;0.00
1720823500;2589.00;160.10;399.90
1720823550;5214.10;146.87;0.00
1720823658;3578.08;35.45;1065.59
1720823992;2861.26;161.65;59.61
1720824310;2537.35;160.53;35.46
1720824786;1644.80;130.56;0.00
1720825073;4644.27;74.23;392.12
1720825260;755.67;45.67;0.00
1720825278;2280.68;2280.68;0.00
5471436039;981.00;44.00;306.10
5471436950;1143.42;127.19;304.00
5471439259;1180.01;131.26;276.12
5471450180;1425.67;158.60;441.54
5471479595;998.00;118.00;0.00
5471479730;981.00;271.00;0.00
5471480437;1104.12;122.14;248.98
5471484815;1615.37;152.82;397.55
5471486273;1027.79;1027.79;0.00
5471489051;2787.86;792.45;688.17
0541604783;2282.24;234.08;628.68
0541606484;3998.09;403.19;748.89
0541608525;3657.68;374.63;361.05
0541609696;2925.05;245.70;821.90
0541610015;1215.25;58.25;263.90
1465388548;978.92;41.92;317.95
1465389722;978.92;41.62;285.30
1465391409;3001.40;250.25;800.02
1465391999;998.00;61.00;236.00
1465396885;998.00;60.27;48.73
1465400475;998.00;61.00;300.96
1465400947;2564.46;197.53;606.93
1465401544;2440.31;271.47;172.05
1465401960;1922.68;101.26;637.42
1465402460;3090.02;246.73;651.10
1465402869;3963.23;438.99;1233.24
1465402931;2441.31;128.82;693.73
1465403199;1503.30;147.19;406.83
1465403369;3744.29;350.93;1179.75
1465405078;2586.96;353.89;456.64
1465405370;890.25;71.25;0.00
1465405485;3443.08;3443.08;0.00
1465405515;998.00;61.00;327.55
1465405698;3122.55;291.87;849.11
1465405817;1634.19;53.63;399.56
1465405981;1657.37;1657.37;0.00
1465406023;4233.88;450.49;1134.00
1465406082;981.00;43.99;305.01
1465406090;2370.94;206.23;662.71
1465406147;3159.28;212.81;986.53
1465406198;998.00;61.00;203.30
1465406260;2930.32;17.83;1056.56
1465406406;1896.12;210.93;505.00
0944335934;998.00;61.00;0.00
0944336299;998.00;61.00;201.72
0944339697;981.00;44.00;307.37
0944343120;981.00;44.00;235.34
0944343341;981.00;44.00;305.89
0944353150;998.00;60.44;217.56
0944358004;998.00;61.00;303.78
1634755720;981.00;44.00;0.00
1634755780;998.00;61.00;0.00
1634756433;998.00;61.00;0.00
1634756603;981.00;44.00;0.00
1634757383;2177.71;186.16;6.55
1634757910;2901.63;176.72;61.56
1634759327;981.00;43.70;306.30
1634759688;1710.18;120.28;556.40
1634760147;2304.22;255.77;711.45
1634760589;998.00;61.00;144.41
1634761232;3147.54;186.75;89.31
1634763294;3616.54;401.96;1057.58
1634763618;1361.40;127.01;427.39
1634764878;978.92;41.92;0.00
1634764975;2065.26;186.35;647.42
1634765203;981.00;44.00;0.00
1634765238;998.00;61.00;297.05
1634770339;4185.17;103.60;323.03
1634770533;2139.93;100.30;713.24
1634770568;3027.22;66.43;1023.57
1634770649;4318.25;49.39;1702.54
1634770703;4616.96;79.99;1394.21
1634770983;2827.53;85.65;401.11
1634770991;1163.67;129.45;115.24
5381310656;4586.60;194.04;1376.94
5381311857;1014.48;34.59;321.84
5381319297;1841.72;204.15;378.57
0000146170;993.23;56.23;302.28
0000147176;3172.36;105.20;0.00
0000147958;981.00;44.00;123.68
0000150339;981.00;44.00;236.35
0000150533;981.00;44.00;263.30
0000151688;981.00;44.00;0.00
0000152137;981.00;44.00;203.20
0000152323;981.00;44.00;221.26
0000158666;998.00;61.00;217.10
0000158747;998.00;61.00;276.55
0000160580;998.00;60.70;203.30
0000161179;981.00;44.00;304.75
0000165808;2624.55;243.70;110.80
0000166014;998.00;61.00;263.90
0000166278;978.92;41.92;304.13
0000167029;2686.38;249.44;0.00
0000167088;981.00;43.28;263.72
0000167487;998.00;61.00;301.68
0000169447;1101.53;121.78;263.75
5381361838;5587.97;588.49;1346.47
5381367437;2013.19;223.96;536.76
5381373100;2977.09;251.20;671.85
5381373550;5839.40;649.62;1556.93
0000245607;981.00;44.00;127.91
0000245666;998.00;61.00;306.62
0000245917;981.00;44.00;246.40
0000246808;981.00;44.00;144.84
0000247901;998.00;61.00;0.00
0000249769;981.00;44.00;0.00
0000250058;999.58;92.81;244.40
0000253693;981.00;44.00;151.85
0000254690;998.00;61.00;327.56
0000254789;981.00;44.00;72.87
0000255580;998.00;60.39;300.61
0000258083;998.00;61.00;304.19
0000259110;998.00;61.00;236.39
0000260940;981.00;44.00;172.00
0000263710;1931.07;180.50;497.89
0000264016;998.00;61.00;303.40
0000265080;981.00;44.00;303.30
0000265926;998.00;60.87;306.13
1275199787;978.92;41.92;218.36
1275200505;1271.41;141.43;237.72
1275200777;3234.66;302.97;1000.69
1275202761;4418.44;376.23;1048.77
1275204926;998.00;60.56;116.44
1275204934;2034.65;189.23;573.42
1275205078;981.00;43.61;307.39
1275206007;998.00;60.74;263.26
1275206546;981.00;101.00;263.98
1275208417;978.92;41.32;17.60
1275209162;998.00;61.00;270.07
1275210985;998.00;61.00;169.52
1634878229;998.00;60.10;307.90
1634879306;1354.45;150.67;0.00
1634879624;1881.60;175.60;0.00
1634879861;1499.03;48.87;332.16
1634880037;3192.64;241.95;87.69
1634881530;2027.46;61.23;673.23
1634882382;2649.60;294.76;0.00
1634882536;998.00;60.24;233.76
1634882609;3417.21;233.81;905.77
1634883184;981.00;43.70;236.30
1634883826;998.00;60.20;230.80
1634884369;981.00;43.90;217.10
1634885144;1272.79;66.84;138.95
1634885969;962.26;24.66;275.60
5381286828;998.00;61.00;304.30
5381296262;2230.67;98.35;740.97
5381296289;4870.64;541.85;1298.38
5381297820;4288.88;139.94;1633.79
5381297862;1985.18;219.73;491.66
5381301320;2465.72;193.75;409.51
5381302300;4118.97;382.46;0.00
5381307612;998.00;61.00;236.16
5381309305;4668.00;468.62;308.73
1275062307;978.92;41.92;315.80
1275062854;1455.13;161.88;450.19
1275064172;998.00;60.72;33.28
1275064423;1372.01;152.42;420.59
1275065047;1057.34;99.11;318.38
1275066221;1877.66;208.88;525.73
1275066280;978.92;41.02;263.90
1634887120;1410.71;156.93;376.13
1634887180;1516.41;168.41;342.00
1634887279;998.00;61.00;29.00
1634888704;998.00;61.00;264.00
1634888941;998.00;60.03;179.97
1634889077;1098.93;57.18;291.75
1634889263;2647.50;230.00;751.50
1634890458;3966.15;368.97;1178.84
1634890938;1184.60;131.60;200.00
1634893163;2729.96;199.54;46.98
1634894330;978.92;41.92;316.38
1634897150;998.00;61.00;308.00
0000434400;998.00;61.00;0.00
0000435686;998.00;61.00;196.45
0000436461;381.60;29.60;0.00
0000436844;998.00;60.24;303.76
0000437336;998.00;61.00;203.38
0000440582;998.00;61.00;220.00
0000443140;1049.09;116.70;323.81
0000447714;1003.72;45.40;310.59
0000449415;998.00;61.00;305.99
0000450219;998.00;60.70;295.30
0000450316;998.00;61.00;306.79
0000469033;981.00;44.00;48.58
0000472590;998.00;61.00;257.50
5381514316;998.00;61.00;303.39
5381519750;1215.25;57.88;262.37
1275337705;981.00;44.00;217.20
1275337870;978.92;41.92;17.60
1275339309;981.00;44.00;305.35
1275340684;978.92;41.65;203.27
1275342938;998.00;60.70;236.30
1275343306;978.92;41.92;276.28
1275345007;3847.90;199.84;1234.77
1275345724;1321.11;146.96;352.00
1275348642;1009.16;112.26;187.17
1275369860;998.00;61.00;0.00
1275374791;1836.50;204.29;194.75
1275378428;2091.74;186.95;650.37
1275386447;998.00;61.00;212.40
5381572766;2349.79;234.76;661.03
5381579760;1509.22;167.89;58.14
5381580769;1591.12;177.00;198.86
1635018649;3570.96;195.82;1118.14
1635018738;2792.43;86.40;975.05
1635019130;3832.11;3832.11;0.00
1635019351;1730.79;192.54;281.51
1635020449;1410.50;132.20;440.54
1635020988;1595.74;135.16;370.30
1635021933;998.00;60.96;263.04
1635022115;998.00;60.40;215.60
1635024282;998.00;60.94;184.06
1635024460;978.92;41.92;262.38
1635025041;998.00;61.00;296.03
1635026897;998.00;61.00;203.30
1635027117;998.00;60.67;203.33
1635030614;998.00;61.00;307.90
1635031645;981.00;44.00;263.90
1635031831;4992.20;468.49;1338.91
1635032803;2688.96;249.14;316.75
5381643728;1029.71;62.23;0.00
5381647324;998.00;118.00;0.00
1090810250;981.00;44.00;303.00
1090810536;998.00;61.00;303.30
1090811095;3064.17;340.89;938.72
1090811729;1214.95;135.16;257.16
1090812288;1194.81;132.91;283.38
1090813705;2776.37;198.50;956.88
1090814981;1495.92;166.42;457.57
1090815244;1554.98;209.26;336.33
1090815724;998.00;61.00;306.54
1090816909;2042.03;184.45;475.17
1090822291;2440.99;215.60;46.35
1090822739;2065.64;271.48;627.21
5327204568;2510.73;241.70;795.02
5327204886;978.92;41.92;200.72
5327209225;1977.18;219.95;473.63
5327211076;1135.09;40.83;379.94
5327213192;4514.79;4514.79;0.00
5327215942;1020.17;95.36;153.16
5327216639;998.00;61.00;44.00
5327217651;1215.27;64.12;391.93
5327219620;2350.73;198.94;541.82
5327284669;1896.97;175.52;107.45
5327285720;1163.05;61.37;277.87
5327286963;1383.76;153.94;427.52
5327298937;1236.50;65.25;399.72
5327299348;2068.84;109.17;666.97
5327329557;998.00;60.75;208.25
5327333970;2333.46;95.44;743.02
5327336154;978.92;41.92;307.85
5327341492;1450.52;161.33;354.19
5327342480;998.00;60.69;178.31
5327345706;1976.70;219.27;611.43
5327348950;3160.75;243.95;932.72
5327349027;998.00;61.00;262.46
5327350629;978.92;41.92;264.00
5327354462;978.92;41.92;264.00
5327381761;2886.74;202.45;969.61
5327385775;4066.92;380.15;1147.89
5327391910;1728.59;192.29;529.83
5327396181;998.00;60.60;43.40
5327404125;2114.98;225.17;566.94
5327407221;993.23;55.84;151.39
1090941860;1828.44;202.82;563.62
1090942394;978.92;41.12;201.80
1090946101;3831.25;3831.25;0.00
1090947604;3831.25;426.22;1041.22
1090948732;2434.59;270.84;638.94
1090949453;3077.98;285.08;866.90
1090949917;2914.54;78.60;1019.37
1090949933;3561.61;330.70;0.00
1090950001;1398.68;155.59;433.11
1090951156;1307.17;43.35;343.68
1090955224;2795.63;311.00;678.61
1090955917;2478.78;249.10;762.04
1090956484;3895.40;205.55;1035.00
1090956832;4613.58;466.35;1462.87
1090957189;976.28;91.49;210.18
1090957499;2089.10;232.41;0.00
1090989595;4031.37;205.86;1159.07
1090989650;2326.32;181.10;676.04
1090989765;2632.57;246.78;740.25
1090989820;2979.46;318.60;13.30
1090989927;2619.74;111.91;588.75
1090992626;2273.52;203.04;731.58
1091006102;1175.29;130.75;0.00
1091007036;3846.31;359.53;1045.93
0000404870;998.00;60.93;236.07
0000407879;572.40;572.40;0.00
0000408166;1684.40;187.38;313.78
0000409235;1236.50;79.50;0.00
0000409359;998.00;61.00;0.00
0000409588;998.00;61.00;0.00
0000411299;981.00;44.00;0.00
0000411507;981.00;43.97;95.03
0000411647;998.00;61.00;0.00
0000411892;998.00;61.00;0.00
0000412830;998.00;61.00;671.74
0000413593;998.00;61.00;307.86
0000413852;998.00;61.00;203.26
0000416045;998.00;61.00;0.00
0000416258;998.00;61.00;301.77
0000416614;1060.73;65.55;316.18
0000416657;981.00;44.00;307.26
1432283976;1573.13;175.00;376.81
1432284697;1536.94;170.94;0.00
1432286002;981.00;43.94;172.06
1432288676;2608.85;244.51;600.00
1432289036;998.00;61.00;0.00
1432290310;1982.00;219.61;0.00
1432290573;998.00;61.00;0.00
1432291057;2080.19;193.14;196.50
0824696603;998.00;61.00;229.66
0824715020;998.00;61.00;0.00
0824719859;969.38;32.38;0.00
0824722140;2474.16;216.65;821.93
0824747860;3673.04;408.61;0.00
0824975146;2327.77;101.31;636.69
0824976916;1215.25;58.25;329.58
0824978161;998.00;61.00;219.50
0824979133;998.00;61.00;203.30
0824979168;1222.65;135.59;311.06
0824981340;1475.35;77.85;475.32
0824982797;998.00;61.00;303.18
0824982886;1721.25;90.25;215.00
0824983181;2225.94;229.80;661.39
0824988949;998.00;61.00;263.74
0824989430;2712.52;250.12;582.80
0824989457;998.00;61.00;263.70
0824989910;2650.30;87.42;534.88
0824991443;981.00;43.50;285.50
0824993047;998.00;61.00;255.67
1432356876;2909.02;325.15;862.94
1432357708;978.92;41.92;236.07
1432358240;998.00;61.00;263.74
1432358682;2912.21;323.21;0.00
1432362884;981.00;44.00;262.35
1432362906;2801.54;253.83;48.27
1432363368;1458.00;162.12;340.88
1432364666;998.00;60.90;217.10
1432394891;1975.52;104.24;602.84
1432395332;2325.97;96.33;775.63
1432395510;981.00;44.00;305.15
1432395553;998.00;60.70;236.30
1432395804;998.00;61.00;150.92
1432396258;2200.08;244.75;0.00
1432398137;981.00;44.00;241.27
